year_built,stories,num_bedrooms,full_bathrooms,half_bathrooms,livable_sqft,total_sqft,garage_type,garage_sqft,carport_sqft,has_fireplace,has_pool,has_central_heating,has_central_cooling,house_number,street_name,unit_number,city,zip_code,sale_price
2016,2,5,3,0,3444,3555,attached,651,0,FALSE,FALSE,TRUE,TRUE,7765,Rivera Shoals,,Port Jonathanborough,10250,596109
2016,2,5,4,0,3842,4231,attached,619,0,FALSE,FALSE,TRUE,TRUE,3201,Rivera Shoals,,Port Jonathanborough,10250,653564
2016,2,5,3,1,3313,3455,attached,720,0,FALSE,FALSE,TRUE,TRUE,51,Anita Mount,,Port Jonathanborough,10250,590359
2014,1,4,2,1,2691,2694,attached,417,0,FALSE,FALSE,TRUE,TRUE,773,Phillips Throughway,,Port Jonathanborough,10250,530033
2015,2,4,2,1,2522,2557,attached,418,0,FALSE,FALSE,TRUE,TRUE,43317,Williams Bypass,,Chadstad,11081,515545
2016,2,3,2,1,2688,2855,attached,438,0,TRUE,FALSE,TRUE,TRUE,3953,Johnson Harbors,,Coletown,11631,645501
2015,2,5,2,0,3817,4178,attached,502,0,TRUE,FALSE,TRUE,TRUE,362,Margaret Curve,,North Erinville,11510,601476
2014,2,4,2,1,3108,3154,attached,734,0,TRUE,FALSE,TRUE,TRUE,3950,Patterson Fort,,Hallfort,11982,468716
2015,2,5,4,1,3604,3877,attached,661,0,TRUE,FALSE,TRUE,TRUE,681,Paul Landing,,Hallfort,11982,475017
2013,2,5,4,1,3599,3885,attached,660,0,TRUE,FALSE,TRUE,TRUE,96693,Paul Landing,,Hallfort,11982,463679
2014,2,5,3,1,3539,3812,attached,661,0,TRUE,FALSE,TRUE,TRUE,19778,Patterson Fort,,Hallfort,11982,555660
2013,2,5,3,1,3541,3822,attached,657,0,TRUE,FALSE,TRUE,TRUE,59670,Paul Landing,,Hallfort,11982,466196
2013,1,2,2,0,1491,1525,attached,422,0,FALSE,FALSE,TRUE,TRUE,14036,Johnson Drives,,East Lucas,11911,296100
2013,1,3,2,1,2684,2995,attached,610,0,TRUE,FALSE,TRUE,TRUE,9910,Anderson Union,,Hallfort,11982,466199
2016,2,5,2,1,3255,3261,attached,621,0,TRUE,FALSE,TRUE,TRUE,5281,Daniel Prairie,,Joshuafurt,10321,545945
2014,1,3,1,1,1657,1801,attached,563,0,FALSE,FALSE,TRUE,TRUE,8979,Clarke Hollow,,South Anthony,10984,451032
2015,1,3,1,1,1659,2085,attached,474,0,FALSE,FALSE,TRUE,TRUE,4532,Clarke Hollow,,South Anthony,10984,463236
2016,1,2,1,1,1660,1964,attached,474,0,FALSE,FALSE,TRUE,TRUE,3958,Clarke Hollow,,South Anthony,10984,463962
2015,1,3,1,1,1661,1790,attached,608,0,FALSE,FALSE,TRUE,TRUE,5004,Jane Glen,,South Anthony,10984,458213
2016,1,2,1,1,1317,1489,attached,431,0,FALSE,FALSE,TRUE,TRUE,684,Jane Glen,,South Anthony,10984,347612
2012,1,2,1,1,1628,1887,attached,509,0,FALSE,FALSE,TRUE,TRUE,430,Clarke Hollow,,South Anthony,10984,474013
2014,2,4,3,0,2593,2717,attached,422,0,FALSE,FALSE,TRUE,TRUE,949,Wade Route,,Chadstad,10808,545594
2015,2,4,3,0,2591,2710,attached,420,0,FALSE,FALSE,TRUE,TRUE,715,Wade Route,,Chadstad,10808,595009
2016,2,4,3,0,2137,2224,attached,423,0,FALSE,FALSE,TRUE,TRUE,46549,Wade Route,,Chadstad,10808,545592
2015,2,3,2,1,3200,3261,attached,675,0,FALSE,FALSE,TRUE,TRUE,885,Scott Crossroad,,North Erinville,11510,518581
1969,1,1,1,0,841,1215,none,0,465,FALSE,FALSE,TRUE,TRUE,2508,Fitzgerald Key,1690,Jeffreyhaven,11913,16028
2015,2,3,2,1,1821,1907,attached,434,0,FALSE,FALSE,TRUE,TRUE,963,Amber Mall,,Chadstad,10272,554271
2015,2,3,2,1,1826,1907,attached,437,0,FALSE,FALSE,TRUE,TRUE,2739,Amber Mall,,Chadstad,10272,539582
2016,2,3,2,1,1825,2093,attached,434,0,TRUE,FALSE,TRUE,TRUE,6033,Joel Ford,,Chadstad,10272,562951
2014,2,4,2,1,2135,2326,attached,412,0,TRUE,FALSE,TRUE,TRUE,413,Joel Ford,,Chadstad,10272,635745
2016,1,4,3,0,2827,2858,attached,595,0,FALSE,FALSE,TRUE,TRUE,87183,Wood Prairie,,Joshuafurt,10321,534490
2013,1,3,2,0,1691,1722,attached,422,0,FALSE,FALSE,TRUE,TRUE,52102,Moss Harbor,,Joshuafurt,10321,422500
2014,1,3,2,0,1696,1714,attached,420,0,FALSE,FALSE,TRUE,TRUE,763,Hart Streets,,Joshuafurt,10321,426956
2014,2,4,2,1,3212,3322,attached,682,0,FALSE,FALSE,TRUE,TRUE,426,Jerry Lakes,,Joshuafurt,10321,509680
2016,2,3,2,1,2662,2730,attached,431,0,FALSE,FALSE,TRUE,TRUE,18032,Ronald Junction,,Coletown,11631,673656
2016,2,3,2,1,1991,1994,attached,459,0,FALSE,FALSE,TRUE,TRUE,8022,Bridges Brook,,Coletown,11631,596056
2016,2,3,2,1,1991,2038,attached,457,0,FALSE,FALSE,TRUE,TRUE,62960,Mitchell Crescent,,Coletown,11631,587130
2015,2,3,2,1,1757,1745,attached,430,0,FALSE,FALSE,TRUE,TRUE,61018,Bridges Brook,,Coletown,11631,574084
2016,2,3,2,1,1668,1698,attached,451,0,FALSE,FALSE,TRUE,TRUE,25058,Bridges Brook,,Coletown,11631,561034
2016,2,3,2,1,2191,2195,attached,438,0,FALSE,FALSE,TRUE,TRUE,9358,Bridges Brook,,Coletown,11631,624894
2014,1,4,2,1,2424,2789,attached,686,0,TRUE,TRUE,TRUE,TRUE,4359,Cruz Station,,West Ann,10748,790710
2016,1,2,2,0,1958,2163,attached,470,0,FALSE,FALSE,TRUE,TRUE,579,Lisa Row,,South Anthony,10984,634893
2015,2,4,2,1,2446,2548,attached,427,0,FALSE,FALSE,TRUE,TRUE,1996,Amanda Station,,North Erinville,11510,485804
2016,2,5,2,1,2781,2817,attached,508,0,FALSE,FALSE,TRUE,TRUE,8132,Amanda Station,,North Erinville,11510,534643
2014,2,4,2,1,2444,2552,attached,424,0,FALSE,FALSE,TRUE,TRUE,8448,Amanda Station,,North Erinville,11510,475523
2015,2,3,2,1,2208,2359,attached,474,0,FALSE,FALSE,TRUE,TRUE,9055,Amanda Station,,North Erinville,11510,459455
2016,2,5,2,1,2779,2823,attached,511,0,FALSE,FALSE,TRUE,TRUE,87804,Amanda Station,,North Erinville,11510,505082
2014,1,5,3,0,2822,3235,attached,429,0,TRUE,FALSE,TRUE,TRUE,409,Shawn Common,,West Gregoryview,10750,714069
2014,1,5,3,0,2821,3235,attached,423,0,TRUE,FALSE,TRUE,TRUE,681,Webb Orchard,,West Gregoryview,10750,696431
2016,2,4,3,0,3136,3337,attached,545,0,TRUE,FALSE,TRUE,TRUE,251,Stanley Island,,West Gregoryview,10750,702072
2016,2,5,3,0,3776,3958,attached,667,0,TRUE,FALSE,TRUE,TRUE,93893,Shawn Fork,,West Gregoryview,10750,774744
2015,2,4,3,0,3143,3339,attached,551,0,TRUE,FALSE,TRUE,TRUE,430,Webb Orchard,,West Gregoryview,10750,712658
2016,2,4,3,0,3136,3333,attached,548,0,TRUE,FALSE,TRUE,TRUE,4874,Webb Orchard,,West Gregoryview,10750,733115
2015,2,3,3,0,3501,3934,attached,675,0,TRUE,FALSE,TRUE,TRUE,130,Jasmine Loop,,Chadstad,10272,893514
2016,2,4,3,0,2732,2816,attached,446,0,FALSE,FALSE,TRUE,TRUE,95298,Michael Hill,,Chadstad,10209,551602
2015,2,3,2,1,2342,2518,attached,462,0,FALSE,FALSE,TRUE,TRUE,9454,Avery Islands,,Lewishaven,11071,528946
2014,2,4,2,1,2022,2055,attached,483,0,TRUE,FALSE,TRUE,TRUE,490,Taylor Coves,,North Erinville,11510,492877
2014,1,2,1,1,1659,1795,attached,471,0,FALSE,FALSE,TRUE,TRUE,66815,Clarke Hollow,,South Anthony,10984,419428
2015,1,2,2,0,2035,2246,attached,586,0,FALSE,FALSE,TRUE,TRUE,3331,Swanson Branch,,Jeffreyhaven,11558,427390
2013,1,2,2,0,1734,1865,attached,454,0,TRUE,FALSE,TRUE,TRUE,8173,Swanson Branch,,Jeffreyhaven,11558,373966
2015,2,3,2,1,1649,1665,attached,383,0,FALSE,FALSE,TRUE,TRUE,1447,Edwin Port,354,East Lucas,11911,289171
2016,2,4,2,1,1967,2054,attached,439,0,FALSE,FALSE,TRUE,TRUE,53775,Edwin Port,2701,East Lucas,11911,337051
2014,2,4,2,1,1725,1744,attached,420,0,FALSE,FALSE,TRUE,TRUE,284,Erin Village,,East Lucas,11911,313108
2016,2,3,2,1,1654,1662,attached,386,0,FALSE,FALSE,TRUE,TRUE,19818,Erin Village,2783,East Lucas,11911,319410
1978,1,3,2,0,2156,2150,none,0,397,FALSE,FALSE,TRUE,TRUE,870,Roger Crest,2786,Wendybury,10250,1441
2016,1,2,2,0,1050,1058,none,0,441,FALSE,FALSE,TRUE,FALSE,28639,Williams River,545,Scottberg,11500,52189
2014,1,3,2,0,1967,2251,attached,407,0,FALSE,TRUE,TRUE,TRUE,9243,Cooper Garden,,Lake Jack,10825,807029
2013,2,3,2,1,1574,1572,attached,456,0,FALSE,FALSE,TRUE,TRUE,56058,Avery Islands,,Lewishaven,11071,373037
2013,2,3,2,1,1599,1598,attached,423,0,FALSE,FALSE,TRUE,TRUE,5837,Avery Islands,,Lewishaven,11071,370191
2014,2,3,2,1,1580,1575,attached,456,0,FALSE,FALSE,TRUE,TRUE,9845,Avery Islands,,Lewishaven,11071,355955
2014,2,5,3,1,3793,3942,attached,657,0,TRUE,FALSE,TRUE,TRUE,343,Vincent Unions,,Port Jonathanborough,10250,596108
2015,2,4,2,1,2969,3069,attached,724,0,TRUE,FALSE,TRUE,TRUE,18250,Vincent Unions,,Port Jonathanborough,10250,550856
2015,2,5,3,1,3799,3944,attached,659,0,TRUE,FALSE,TRUE,TRUE,851,Michele Crest,,Port Jonathanborough,10250,601850
2014,2,5,2,1,3108,3163,attached,712,0,TRUE,FALSE,TRUE,TRUE,4735,Brian Divide,,Amystad,11682,534995
2014,2,4,2,1,2969,3069,attached,726,0,TRUE,FALSE,TRUE,TRUE,432,Vincent Unions,,Port Jonathanborough,10250,553019
2014,2,5,3,1,3524,3632,attached,709,0,TRUE,FALSE,TRUE,TRUE,674,Vincent Unions,,Port Jonathanborough,10250,624837
2015,2,4,2,1,2962,3075,attached,726,0,TRUE,FALSE,TRUE,TRUE,39700,Vincent Unions,,Port Jonathanborough,10250,547266
2014,2,5,3,0,3428,3530,attached,624,0,TRUE,FALSE,TRUE,TRUE,3416,Timothy Coves,,Chadstad,10272,666462
2015,2,5,3,0,3422,3846,attached,627,0,TRUE,FALSE,TRUE,TRUE,772,Flores Fort,,Chadstad,10272,720553
2015,1,4,2,1,2563,2675,attached,610,0,TRUE,FALSE,TRUE,TRUE,6490,Flores Fort,,Chadstad,10272,645098
2014,2,5,4,1,4254,4375,attached,591,0,FALSE,TRUE,TRUE,TRUE,6869,Timothy Path,,Davidfort,10701,584765
2014,1,3,2,1,2341,2405,attached,642,0,FALSE,FALSE,TRUE,TRUE,86562,Boyle Brooks,,Davidfort,10701,470383
2016,2,5,4,1,4248,4374,attached,586,0,FALSE,FALSE,TRUE,TRUE,49464,Rodriguez Extension,,Davidfort,10701,642596
2014,2,5,3,1,3689,3690,attached,646,0,FALSE,FALSE,TRUE,TRUE,812,Tina Vista,,Davidfort,10701,518579
2015,1,3,2,1,2350,2413,attached,648,0,FALSE,FALSE,TRUE,TRUE,6431,Tina Vista,,Davidfort,10701,476164
2015,2,4,3,0,3258,3303,attached,642,0,FALSE,FALSE,TRUE,TRUE,3402,Boyle Brooks,,Davidfort,10701,471027
2016,1,3,2,1,2914,3500,attached,566,0,TRUE,FALSE,TRUE,TRUE,673,Sanchez Pike,,Lewishaven,11071,756042
2015,1,4,3,0,2954,3241,attached,654,0,TRUE,FALSE,TRUE,TRUE,746,Richard Course,,Lewishaven,11071,663491
2012,1,2,2,0,1290,1297,none,0,592,FALSE,FALSE,TRUE,TRUE,9850,Isaiah Club,,Lewishaven,11980,98957
2013,2,3,2,1,1606,1716,attached,425,0,FALSE,FALSE,TRUE,TRUE,43001,Wilson Brook,,North Erinville,11510,347004
2015,2,3,2,1,2415,2470,attached,609,0,FALSE,FALSE,TRUE,TRUE,9814,Karen Rapids,,Coletown,10555,588499
2016,1,2,2,0,1902,2125,attached,589,0,FALSE,FALSE,TRUE,TRUE,7514,Brent Extensions,,Jeffreyhaven,11558,365958
2016,2,3,2,1,2773,2801,attached,468,0,TRUE,FALSE,TRUE,TRUE,85406,Tracie Inlet,,Coletown,10555,572705
2014,2,3,2,1,2023,2119,attached,482,0,TRUE,FALSE,TRUE,TRUE,42451,Tracie Inlet,,Coletown,10555,517767
2015,2,3,2,1,2630,2670,attached,604,0,FALSE,FALSE,TRUE,TRUE,402,Holmes Mall,,Coletown,10555,650988
2016,1,2,2,0,1632,1766,attached,457,0,TRUE,FALSE,TRUE,TRUE,2031,Duffy Mill,,Jeffreyhaven,11558,377309
2016,1,2,2,0,1735,1771,attached,459,0,TRUE,FALSE,TRUE,TRUE,7942,Duffy Mill,,Jeffreyhaven,11558,370629
2015,1,2,2,0,1910,2124,attached,633,0,FALSE,FALSE,TRUE,TRUE,26538,Duffy Mill,,Jeffreyhaven,11558,426052
2014,1,2,2,0,1509,1794,attached,424,0,FALSE,FALSE,TRUE,TRUE,281,Shane Groves,,Jeffreyhaven,11558,293160
2015,3,4,3,0,2295,2348,attached,644,0,FALSE,FALSE,TRUE,TRUE,17,Christopher Inlet,,North Erinville,10537,434400
2014,3,4,3,0,2297,2349,attached,652,0,FALSE,FALSE,TRUE,TRUE,9087,King Points,,North Erinville,10537,447894
2015,3,4,3,0,2188,2232,attached,465,0,FALSE,FALSE,TRUE,TRUE,905,King Points,,North Erinville,10537,441470
2015,3,4,3,0,2181,2231,attached,468,0,FALSE,FALSE,TRUE,TRUE,7139,King Points,,North Erinville,10537,441470
2013,2,4,2,1,1920,1973,attached,453,0,FALSE,FALSE,TRUE,TRUE,7417,Martin Rue,,Davidfort,10701,367568
2013,2,3,2,0,1636,1744,attached,429,0,FALSE,FALSE,TRUE,TRUE,565,Martin Rue,,Davidfort,10701,340576
2012,2,3,2,0,1734,1737,attached,428,0,FALSE,FALSE,TRUE,TRUE,9879,Lisa Coves,,Port Andrealand,11295,447725
2016,2,4,3,1,3774,4135,attached,737,0,TRUE,FALSE,TRUE,TRUE,22618,Frederick Square,,Coletown,10555,819235
2015,2,5,4,0,4087,4574,attached,595,0,TRUE,FALSE,TRUE,TRUE,128,Miller Street,,Coletown,10555,848766
2015,2,4,3,1,3774,4138,attached,743,0,TRUE,FALSE,TRUE,TRUE,134,Miller Street,,Coletown,10555,693566
2013,2,5,4,0,4083,4569,attached,598,0,TRUE,FALSE,TRUE,TRUE,499,Sabrina Vista,,Coletown,10555,723782
2014,2,4,3,1,3771,4138,attached,739,0,TRUE,TRUE,TRUE,TRUE,31637,Sabrina Vista,,Coletown,10555,718291
2014,1,2,2,1,2409,2666,attached,537,0,FALSE,FALSE,TRUE,TRUE,538,Kristen Rapids,,East Lucas,11911,463677
2014,1,2,2,1,2703,2944,attached,508,0,FALSE,FALSE,TRUE,TRUE,269,Rhonda Summit,,East Lucas,11911,532983
2016,1,2,2,1,2477,2726,attached,523,0,FALSE,FALSE,TRUE,TRUE,52411,Rhonda Summit,,East Lucas,11911,614251
2013,1,2,2,1,2476,2716,attached,522,0,FALSE,FALSE,TRUE,TRUE,548,Patricia Flat,,East Lucas,11911,462424
2013,1,2,2,0,1495,1528,attached,430,0,FALSE,FALSE,TRUE,TRUE,543,Castro Parkways,,East Lucas,11911,303031
2016,1,2,2,0,1596,1636,attached,554,0,FALSE,FALSE,TRUE,TRUE,552,Jones Shore,,East Lucas,11911,373589
2015,2,4,3,0,2814,2840,attached,694,0,TRUE,FALSE,TRUE,TRUE,954,Taylor Mills,,Coletown,11631,753996
2016,2,4,2,1,2965,3096,attached,620,0,FALSE,FALSE,TRUE,TRUE,9501,Mandy Land,,Port Jonathanborough,10250,560201
2016,1,3,1,1,1755,2046,attached,504,0,FALSE,FALSE,TRUE,TRUE,6422,Erik Lane,,South Anthony,10984,448877
2015,1,3,2,1,2954,3314,attached,735,0,TRUE,FALSE,TRUE,TRUE,4187,Kim Islands,,South Anthony,10984,823772
2014,1,3,2,1,2784,3131,attached,639,0,FALSE,TRUE,TRUE,TRUE,47730,Kim Islands,,South Anthony,10984,814435
2014,1,3,2,1,2796,3137,attached,681,0,FALSE,FALSE,TRUE,TRUE,20846,Kim Islands,,South Anthony,10984,782115
2014,1,3,2,1,2956,3684,attached,564,0,FALSE,FALSE,TRUE,TRUE,1215,Kim Islands,,South Anthony,10984,683731
1973,1,2,2,0,1350,1340,none,0,410,FALSE,FALSE,TRUE,FALSE,72817,Moore Orchard,3973,Scottberg,11500,35025
1970,1,1,1,0,801,982,none,0,477,FALSE,FALSE,TRUE,TRUE,8577,Sanders Track,2987,West Lydia,10569,10077
1974,1,2,2,0,1205,1199,none,0,554,FALSE,FALSE,TRUE,TRUE,738,Andrea Glen,3318,Jeffreyhaven,11913,9352
2014,1,4,2,0,2622,2716,attached,422,0,FALSE,FALSE,TRUE,TRUE,9415,Grant Station,,North Erinville,11510,507652
2014,2,4,2,0,2524,2565,attached,419,0,FALSE,FALSE,TRUE,TRUE,723,James Shoal,,North Erinville,11510,447895
2014,1,3,2,0,1866,1891,attached,418,0,FALSE,FALSE,TRUE,TRUE,35472,Sarah Forest,,North Erinville,11510,466527
2016,2,4,2,1,2119,2262,attached,461,0,FALSE,FALSE,TRUE,TRUE,61,Jones Branch,,East Lucas,11911,388080
2014,2,4,2,1,3374,3485,attached,633,0,FALSE,FALSE,TRUE,TRUE,31086,Grant Station,,North Erinville,11510,557131
2013,1,4,2,0,2634,2712,attached,417,0,FALSE,FALSE,TRUE,TRUE,766,James Shoal,,North Erinville,11510,499940
2014,2,5,4,1,4239,4369,attached,656,0,FALSE,FALSE,TRUE,TRUE,7150,James Shoal,,North Erinville,11510,569345
2015,2,4,3,1,4074,4189,attached,661,0,FALSE,FALSE,TRUE,TRUE,900,Paul Club,,North Erinville,11510,605970
2016,2,4,2,0,2524,2566,attached,419,0,FALSE,FALSE,TRUE,TRUE,9416,James Shoal,,North Erinville,11510,474883
2014,1,3,2,0,2343,2394,attached,637,0,FALSE,FALSE,TRUE,TRUE,4177,Jessica Isle,,North Erinville,11510,507658
2013,1,3,3,0,2611,2716,attached,641,0,FALSE,FALSE,TRUE,TRUE,348,Nancy Pike,,North Erinville,11510,508936
2014,1,3,2,0,2349,2404,attached,639,0,FALSE,FALSE,TRUE,TRUE,496,Nash Mission,,North Erinville,11510,499944
2014,1,4,3,0,2896,2970,attached,522,0,FALSE,FALSE,TRUE,TRUE,956,Gabriel Causeway,,North Erinville,11510,508937
2015,2,5,3,1,3173,3413,attached,808,0,FALSE,FALSE,TRUE,TRUE,753,Allen Forge,,East Lucas,11911,507784
2016,2,5,3,1,3523,3728,attached,705,0,TRUE,FALSE,TRUE,TRUE,6934,Smith Plain,,North Erinville,11510,595045
2014,2,4,2,1,3669,3756,attached,664,0,FALSE,FALSE,TRUE,TRUE,786,Lee Shoal,,Port Andrealand,11467,737516
2017,2,3,2,1,1647,1662,attached,390,0,FALSE,FALSE,TRUE,TRUE,46494,Moore Terrace,3920,East Lucas,11911,323193
2013,1,2,2,0,2279,2906,attached,513,0,FALSE,TRUE,TRUE,TRUE,13,Wanda Mall,,South Anthony,11353,835271
2015,1,2,1,1,1931,2248,attached,452,0,FALSE,TRUE,TRUE,TRUE,21592,Gill Cliff,,South Anthony,11353,750517
2013,1,2,1,1,1919,2209,attached,486,0,FALSE,FALSE,TRUE,TRUE,36628,Hoover Flats,,South Anthony,11353,561637
2013,1,2,1,1,1624,1903,attached,500,0,FALSE,TRUE,TRUE,TRUE,167,Hoover Flats,,South Anthony,11353,585332
2014,1,2,1,1,1933,2243,attached,448,0,FALSE,FALSE,TRUE,TRUE,280,Hoover Flats,,South Anthony,11353,629863
2013,1,2,1,1,1620,1900,attached,500,0,FALSE,FALSE,TRUE,TRUE,17563,Hoover Flats,,South Anthony,11353,491966
2014,2,2,3,0,2782,3493,attached,479,0,FALSE,TRUE,TRUE,TRUE,54,Matthew Trail,,South Anthony,11353,1144093
2015,2,2,1,1,3172,3424,attached,480,0,FALSE,TRUE,TRUE,TRUE,21333,Matthew Trail,,South Anthony,11353,1136908
2013,2,3,2,1,1739,1749,attached,452,0,FALSE,FALSE,TRUE,TRUE,425,Bush Keys,,Port Andrealand,11295,447729
2014,2,4,3,0,2817,2844,attached,693,0,TRUE,FALSE,TRUE,TRUE,13743,Taylor Mills,,Coletown,11631,743695
2015,2,3,2,1,2051,2132,attached,418,0,FALSE,FALSE,TRUE,TRUE,6516,Steven Cape,,Davidfort,11176,451750
1972,1,2,1,1,1157,1147,none,0,481,FALSE,FALSE,TRUE,TRUE,994,Yang Curve,3867,Chadstad,10752,24705
2012,2,5,4,1,4214,4405,attached,623,0,FALSE,FALSE,TRUE,TRUE,8567,Jenny Course,,Port Andrealand,11295,751254
2014,1,3,2,1,2190,2219,attached,428,0,FALSE,FALSE,TRUE,TRUE,2692,Jenny Course,,Port Andrealand,11295,576826
2014,2,5,4,1,4217,4395,attached,621,0,FALSE,FALSE,TRUE,TRUE,354,April Lights,,Port Andrealand,11467,782147
2013,2,5,4,1,4213,4393,attached,627,0,FALSE,FALSE,TRUE,TRUE,49567,April Lights,,Port Andrealand,11467,802756
2014,1,4,3,0,2404,2431,attached,430,0,FALSE,FALSE,TRUE,TRUE,79169,Lisa Fords,,Port Andrealand,11467,713480
2014,2,5,3,0,3821,4077,attached,505,0,TRUE,FALSE,TRUE,TRUE,54937,Melvin Centers,,Port Andrealand,11467,892706
2016,1,2,2,0,1594,1697,attached,420,0,FALSE,FALSE,TRUE,TRUE,636,Chapman Locks,,East Lucas,11911,378001
2016,1,2,2,0,1595,1635,attached,558,0,FALSE,FALSE,TRUE,TRUE,4892,Chapman Locks,,East Lucas,11911,369810
2014,1,2,2,1,2162,2237,attached,428,0,FALSE,FALSE,TRUE,TRUE,69898,Chapman Locks,,East Lucas,11911,459266
2005,1,2,2,0,724,734,none,0,569,FALSE,FALSE,TRUE,TRUE,92546,Matthew Points,1620,Jeffreyhaven,10346,26714
2015,2,4,2,1,1731,1750,attached,419,0,FALSE,FALSE,TRUE,TRUE,9122,Erin Village,,East Lucas,11911,340833
2013,2,4,2,1,3670,3748,attached,658,0,FALSE,FALSE,TRUE,TRUE,5183,Lee Shoal,,Port Andrealand,11467,764983
2014,2,5,3,1,2884,2930,attached,597,0,TRUE,FALSE,TRUE,TRUE,17,Lisa Fords,,Port Andrealand,11467,659228
2014,2,3,2,1,1765,1845,attached,431,0,FALSE,FALSE,TRUE,TRUE,2280,Villanueva Brook,,Davidfort,10701,372709
2013,1,4,3,0,2400,2423,attached,428,0,TRUE,FALSE,TRUE,TRUE,11844,Lisa Fords,,Port Andrealand,11467,638628
2015,2,4,3,0,3236,3287,attached,602,0,FALSE,FALSE,TRUE,TRUE,1539,Lisa Fords,,Port Andrealand,11467,593312
2006,2,3,3,1,2139,2745,attached,438,0,TRUE,FALSE,TRUE,TRUE,2282,Amy Camp,,Lake Jack,10825,1111319
2005,2,3,3,1,2138,2746,attached,437,0,TRUE,FALSE,TRUE,TRUE,2282,Amy Camp,,Lake Jack,10825,1137782
2015,1,2,1,1,1145,1142,none,0,0,TRUE,FALSE,TRUE,TRUE,51088,Miller Drives,212,Lake Jack,10825,578153
2014,2,4,2,1,1728,1750,attached,416,0,FALSE,FALSE,TRUE,TRUE,55007,James Manor,,East Lucas,11911,319407
2016,2,4,2,1,1962,2050,attached,438,0,FALSE,FALSE,TRUE,TRUE,53697,James Manor,354,East Lucas,11911,324450
2015,2,4,2,1,1966,2050,attached,441,0,FALSE,FALSE,TRUE,TRUE,53697,James Manor,3920,East Lucas,11911,321929
2016,3,3,2,1,2069,2100,attached,666,0,FALSE,FALSE,TRUE,TRUE,70675,Kara Pine,,North Erinville,10537,406767
2014,3,3,2,1,2061,2094,attached,665,0,FALSE,FALSE,TRUE,TRUE,8561,Kara Pine,,North Erinville,10537,398414
2015,2,3,2,1,1854,1916,attached,464,0,FALSE,FALSE,TRUE,TRUE,74,Kara Pine,,North Erinville,10537,398409
2016,2,3,2,1,1853,1921,attached,462,0,FALSE,FALSE,TRUE,TRUE,527,Kara Pine,,North Erinville,10537,414476
2016,3,3,2,1,2070,2101,attached,667,0,FALSE,FALSE,TRUE,TRUE,3164,King Points,,North Erinville,10537,436970
1996,2,4,3,1,4573,4577,attached,1306,0,FALSE,FALSE,TRUE,TRUE,72977,Patrick Stream,,North Erinville,10537,1161823
2015,3,2,2,0,1385,1449,attached,254,0,FALSE,FALSE,TRUE,TRUE,4269,Davenport Lakes,,West Gregoryview,10750,472046
2016,3,3,2,0,1674,1740,attached,448,0,FALSE,FALSE,TRUE,TRUE,27750,Davenport Lakes,,West Gregoryview,10750,528947
2014,1,3,2,0,1269,1347,none,0,476,FALSE,FALSE,TRUE,TRUE,525,Jordan Points,1178,Jeffreyhaven,11558,70120
2014,2,5,4,0,3185,3221,attached,597,0,TRUE,FALSE,TRUE,TRUE,56878,Howard Hollow,,Port Andrealand,11467,624206
2014,2,4,2,1,2639,2657,attached,438,0,FALSE,FALSE,TRUE,TRUE,6938,Knapp Spurs,,Lake Dariusborough,10004,451748
2014,1,3,2,0,1846,1909,attached,431,0,FALSE,FALSE,TRUE,TRUE,9854,Griffin Skyway,,Lake Dariusborough,10004,354716
2016,1,3,2,0,2021,2089,attached,428,0,FALSE,FALSE,TRUE,TRUE,400,Griffin Skyway,,Lake Dariusborough,10004,348286
2014,1,3,2,0,2137,2227,attached,421,0,FALSE,FALSE,TRUE,TRUE,9595,Knapp Spurs,,Lake Dariusborough,10004,399701
2015,2,5,3,1,2849,2874,attached,440,0,FALSE,FALSE,TRUE,TRUE,2689,Griffin Skyway,,Lake Dariusborough,10004,398408
2016,1,3,2,0,2133,2227,attached,418,0,FALSE,FALSE,TRUE,TRUE,625,Griffin Skyway,,Lake Dariusborough,10004,379776
1990,1,4,2,1,2724,4135,attached,1014,0,TRUE,FALSE,TRUE,TRUE,4851,Marquez Inlet,,East Justin,11644,601401
1979,1,4,1,1,1596,1640,attached,506,0,TRUE,TRUE,TRUE,TRUE,4202,Michael Orchard,,Hallfort,10907,296102
1976,1,4,2,0,1370,1514,attached,556,0,TRUE,FALSE,TRUE,TRUE,724,Jackson Stravenue,,Hallfort,10907,323819
1972,1,3,2,1,1710,1706,none,0,0,FALSE,TRUE,TRUE,TRUE,1628,Austin Street,,Hallfort,10907,302402
2014,1,2,1,1,1267,1266,attached,458,0,FALSE,FALSE,TRUE,TRUE,98950,Jeffrey Radial,,Lewishaven,11071,289034
1983,1,3,1,1,1159,1185,attached,503,0,TRUE,FALSE,TRUE,TRUE,9000,Kelly Parks,,Hallfort,10907,264600
1973,1,3,1,1,1217,1219,attached,506,0,FALSE,FALSE,TRUE,TRUE,344,Samuel Grove,,Hallfort,10907,207897
1980,1,3,1,1,1124,1135,attached,463,0,TRUE,FALSE,TRUE,TRUE,4413,Miller Ville,,Hallfort,10907,270900
2014,1,3,3,0,2845,3066,attached,604,0,TRUE,FALSE,TRUE,TRUE,3627,Shelton Street,,Chadstad,10209,715210
